Offset: 267, New Value: 18
Offset: 268, New Value: 80
Offset: 269, New Value: 00
Offset: 270, New Value: 20
Offset: 271, New Value: 05
Offset: 272, New Value: 94
Offset: 274, New Value: 01
Offset: 275, New Value: 20
Offset: 276, New Value: 80
Offset: 278, New Value: 17
Offset: 279, New Value: 02
Offset: 280, New Value: 4c
Offset: 281, New Value: 95
Offset: 282, New Value: 8d
Offset: 283, New Value: 54
Offset: 284, New Value: 93
Offset: 285, New Value: 50
Offset: 287, New Value: 04
Offset: 288, New Value: 00
Offset: 289, New Value: 80
Offset: 290, New Value: 80
Offset: 291, New Value: 01
Offset: 293, New Value: 1a
Offset: 294, New Value: 02
Offset: 295, New Value: 00
Offset: 296, New Value: 27
Offset: 297, New Value: 6c
Offset: 298, New Value: 92
Offset: 299, New Value: 30
Offset: 300, New Value: 1d
Offset: 301, New Value: c0
Offset: 302, New Value: 75
Offset: 303, New Value: 67
Offset: 304, New Value: 89
Offset: 305, New Value: ab
Offset: 306, New Value: c0
Offset: 308, New Value: 00
Offset: 309, New Value: 29
Offset: 310, New Value: a1
Offset: 311, New Value: 00
Offset: 312, New Value: 20
Offset: 313, New Value: 00
Offset: 314, New Value: 25
Offset: 315, New Value: 80
Offset: 316, New Value: c2
Offset: 317, New Value: 0c
Offset: 318, New Value: 02
Offset: 319, New Value: c1
Offset: 320, New Value: c1
Offset: 321, New Value: 82
Offset: 322, New Value: 1c
Offset: 323, New Value: 00
Offset: 324, New Value: 31
Offset: 325, New Value: 28
Offset: 326, New Value: 1c
Offset: 328, New Value: 00
Offset: 329, New Value: 21
Offset: 330, New Value: 1e
Offset: 331, New Value: f4
Offset: 332, New Value: 01
Offset: 334, New Value: 01
Offset: 337, New Value: 06
Offset: 338, New Value: 40
Offset: 339, New Value: 01
Offset: 340, New Value: 40
Offset: 341, New Value: 02
Offset: 342, New Value: 64
Offset: 343, New Value: ce
Offset: 344, New Value: 19
Offset: 345, New Value: 66
Offset: 346, New Value: 73
Offset: 347, New Value: 8b
Offset: 348, New Value: 53
Offset: 349, New Value: 16
Offset: 350, New Value: de
Offset: 351, New Value: 2d
Offset: 352, New Value: 34
Offset: 353, New Value: 7a
Offset: 354, New Value: 64
Offset: 355, New Value: e1
Offset: 356, New Value: 30
Offset: 357, New Value: 28
Offset: 358, New Value: 84
Offset: 359, New Value: 6a
Offset: 360, New Value: a4
Offset: 361, New Value: 9a
Offset: 362, New Value: 80
Offset: 363, New Value: 00
Offset: 364, New Value: 20
Offset: 365, New Value: 04
Offset: 366, New Value: 04
Offset: 368, New Value: 08
Offset: 369, New Value: 00
Offset: 370, New Value: d0
Offset: 371, New Value: 10
Offset: 372, New Value: 01
Offset: 373, New Value: 3b
Offset: 374, New Value: 64
Offset: 375, New Value: 91
Offset: 376, New Value: 80
Offset: 377, New Value: ee
Offset: 378, New Value: 03
Offset: 379, New Value: ab
Offset: 380, New Value: 3c
Offset: 381, New Value: 4d
Offset: 382, New Value: 5e
Offset: 385, New Value: 01
Offset: 386, New Value: 4d
Offset: 387, New Value: 08
Offset: 388, New Value: 01
Offset: 390, New Value: 01
Offset: 391, New Value: 2c
Offset: 392, New Value: 06
Offset: 393, New Value: 10
Offset: 394, New Value: 60
Offset: 395, New Value: 16
Offset: 396, New Value: 0e
Offset: 397, New Value: 0c
Offset: 398, New Value: 10
Offset: 399, New Value: e0
Offset: 400, New Value: 01
Offset: 401, New Value: 89
Offset: 402, New Value: 40
Offset: 403, New Value: e0
Offset: 404, New Value: 80
Offset: 405, New Value: 30
Offset: 406, New Value: f7
